SEGUIMIENTO DE VENTAS POR PROVEEDOR TIENDAS Y MARCAS ABRIL  2026,,,,,,,,,,DIAS HÁBILES,,DÍAS TRANSCURRIDOS,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CIUDAD,(Todas),,,,,,,,,,,,
MES,ABRIL,,,,,,,,,,,,
,,,,,,,,,,,,,
,Etiquetas de columna,,,,,,,,,,,,
,2025,,,2026,,,,,,,,,
Etiquetas de fila,Ventas mes,Suma de Proyectado,Promedio de Marg.,Ventas mes,Suma de Proyectado,Promedio de Marg.,% Crecimiento,,,,,,
ALIMENTOS POLAR,"$ 285,973,163","$ 285,973,163",15,"$ 104,635,667","$ 104,635,667",15,-63.41%,,,,,,
ALPINA PRODUCTOS ALIMENTICIOS,"$ 2,790,456,506","$ 2,790,456,506",17.99637905,"$ 3,398,429,638","$ 3,398,429,638",17.99637905,21.79%,,,,,,
ANCHETAS,$ 0,$ 0,,"$ 1,310,672","$ 1,310,672",,#¡DIV/0!,,,,,,
AREPAS DON MAIZ,"-$ 5,945","-$ 5,945",11.33212238,"$ 2,623,570","$ 2,623,570",11.33212238,-44230.70%,,,,,,
FORMULAS Y QUESITO,"$ 23,759,132","$ 23,759,132",11.83290348,"$ 25,494,488","$ 25,494,488",11.83290348,7.30%,,,,,,
LECHE BOLSA ALPINA,"$ 338,804,392","$ 338,804,392",8.259445182,"$ 404,907,963","$ 404,907,963",8.259445182,19.51%,,,,,,
LECHE EN CAJA,"$ 57,477,902","$ 57,477,902",10.00039467,"$ 75,900,098","$ 75,900,098",10.00039467,32.05%,,,,,,
FLEISCHMANN FOODS,"$ 228,604,220","$ 228,604,220",16,"$ 266,040,836","$ 266,040,836",16,16.38%,,,,,,
ZENU,,,,"$ 1,053,097,767","$ 1,053,097,767",14.5,#¡DIV/0!,,,,,,
Total general,"$ 3,725,069,369","$ 3,725,069,369",12.51465191,"$ 5,332,440,698","$ 5,332,440,698",12.61914391,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
