,,VENTAS CONTADO Y CRÉDITO TENDAS Y MARCAS,,,,,,,,,,,,,,
,,SEDE,CONTADO,CRÉDITO,TOTAL VENTAS,,,,CONTADO," $ 4,759,532,351 ",,,,,,
,,TYM PEREIRA,"$ 4,759,532,351","$ 587,897,284","$ 5,347,429,635",,,,CRÉDITO," $ 587,897,284 ",,,,,,
,,Total general,"$ 4,759,532,351","$ 587,897,284","$ 5,347,429,635",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SEDE,(Todas),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FECHA,CONTADO, CRÉDITO,TOTAL VENTAS,,,,,,,,,,,,,
4/1/2026,"$ 184,814,613","$ 18,986,183","$ 203,800,796",,,,,,,,,,,,,
4/2/2026,"$ 183,761,976","$ 14,167,968","$ 197,929,944",,,,,,,,,,,,,
4/4/2026,"$ 129,541,563","$ 10,057,919","$ 139,599,482",,,,,,,,,,,,,
4/6/2026,"$ 202,776,748","$ 55,230,970","$ 258,007,718",,,,,,,,,,,,,
4/7/2026,"$ 208,378,615","$ 30,166,345","$ 238,544,960",,,,,,,,,,,,,
4/8/2026,"$ 212,914,850","$ 6,978,136","$ 219,892,986",,,,,,,,,,,,,
4/9/2026,"$ 216,103,948","$ 70,827,503","$ 286,931,451",,,,,,,,,,,,,
4/10/2026,"$ 232,513,804","$ 25,615,832","$ 258,129,636",,,,,,,,,,,,,
4/11/2026,"$ 57,522,975",,"$ 57,522,975",,,,,,,,,,,,,
4/13/2026,"$ 204,350,814","$ 24,505,374","$ 228,856,188",,,,,,,,,,,,,
4/14/2026,"$ 227,606,899","$ 29,105,719","$ 256,712,618",,,,,,,,,,,,,
4/15/2026,"$ 198,004,962","$ 41,598,313","$ 239,603,275",,,,,,,,,,,,,
4/16/2026,"$ 219,084,786","$ 65,126,425","$ 284,211,211",,,,,,,,,,,,,
4/17/2026,"$ 207,317,719","$ 3,518,465","$ 210,836,184",,,,,,,,,,,,,
4/18/2026,"$ 38,256,921",,"$ 38,256,921",,,,,,,,,,,,,
4/20/2026,"$ 231,991,008","$ 35,198,858","$ 267,189,866",,,,,,,,,,,,,
4/21/2026,"$ 240,445,787","$ 20,385,866","$ 260,831,653",,,,,,,,,,,,,
4/22/2026,"$ 200,693,627","-$ 22,691,822","$ 178,001,805",,,,,,,,,,,,,
4/23/2026,"$ 206,406,379","$ 21,574,864","$ 227,981,243",,,,,,,,,,,,,
4/24/2026,"$ 212,474,048","$ 23,619,198","$ 236,093,246",,,,,,,,,,,,,
4/25/2026,"$ 40,461,769",,"$ 40,461,769",,,,,,,,,,,,,
4/27/2026,"$ 235,000,824","$ 34,658,759","$ 269,659,583",,,,,,,,,,,,,
4/28/2026,"$ 244,270,036","$ 32,162,570","$ 276,432,606",,,,,,,,,,,,,
4/29/2026,"$ 223,430,182","$ 18,443,834","$ 241,874,016",,,,,,,,,,,,,
4/30/2026,"$ 201,407,499","$ 28,660,005","$ 230,067,504",,,,,,,,,,,,,
Total general,"$ 4,759,532,351","$ 587,897,284","$ 5,347,429,635",,,,,,,,,,,,,
